2026-05-30 16:38:33, MOVE, v:1, k:ed@princesa, mode:PICK
2026-05-30 17:07:06, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 17:08:44, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 17:17:44, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 17:18:20, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 17:26:56, EXEC, v:1, k:ed@princesa, mode:FULL, size:13, fail:COMP
2026-05-30 17:27:07, EXEC, v:1, k:ed@princesa, mode:FULL, rate:0, size:13
2026-05-30 17:27:47, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 17:27:07, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 17:27:56, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 17:37:35, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 17:38:44, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 18:02:45, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 18:03:04, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 18:12:43, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 18:16:30, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 18:32:44, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 18:37:48, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 18:42:40, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 18:47:47, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 18:51:55, MOVE, v:1, k:ed@princesa, mode:EDIT
2026-05-30 19:11:12, MOVE, v:1, k:ed@princesa, mode:EDIT
